"","state","date","temp","ah","o3"
"1","ky",2010-10-03,13.6047223185104,7.3762341413026,44.7306740980921
"2","ky",2010-10-10,16.3054166950736,8.92159708387872,49.763678823946
"3","ky",2010-10-17,14.5033475314712,6.60172834621727,47.9214587264004
"4","ky",2010-10-24,14.6733417129203,8.95158549233197,38.0485590081217
"5","ky",2010-10-31,8.60483711809995,5.79162466848052,39.0895562339351
"6","ky",2010-11-07,10.5317589581592,5.84330497101161,49.0083308193511
"7","ky",2010-11-14,6.83687944657975,7.09032805353944,32.7962401510461
"8","ky",2010-11-21,10.0029966598597,8.08901334354294,31.8129125344417
"9","ky",2010-11-28,3.19320005937527,5.3468671989663,28.8602156462043
"10","ky",2010-12-05,-2.07168163370872,3.21754844559943,31.5820442760568
"11","ky",2010-12-12,-4.49371606585214,3.36867112405959,28.2652609976782
"12","ky",2010-12-19,-0.34680348463757,4.30391919875144,28.590374376363
"13","ky",2010-12-26,2.8427589817043,5.39123616498964,34.9038664398551
"14","ky",2011-01-02,-1.08528268783483,3.34498300996241,33.5798868480183
"15","ky",2011-01-09,-4.1101965817248,2.9425236214405,29.9455331065217
"16","ky",2011-01-16,-1.36790943017569,4.36938728985868,29.1479140589027
"17","ky",2011-01-23,0.690968838416694,4.68459674220034,31.6853290248891
"18","ky",2011-01-30,1.5435329409808,4.89423225598167,33.247120408109
"19","ky",2011-02-06,-3.08161968417183,3.35954637151867,38.5487077096964
"20","ky",2011-02-13,9.66990656735442,5.80226181456318,46.9605557822587
"21","ky",2011-02-20,7.27247066991853,6.49990839227,35.0963267573154
"22","ky",2011-02-27,10.0152526009064,7.3526726930628,39.2216387663119
"23","ky",2011-03-06,6.15952805697591,6.08779737512247,40.1070169828559
"24","ky",2011-03-13,10.8826660301139,7.45542125926944,41.0208176883233
"25","ky",2011-03-20,12.8448149922628,8.00061921632415,42.3560721604825
"26","ky",2011-03-27,5.21233635978422,4.95537063207233,44.0259827172978
"27","ky",2011-04-03,15.9940823915302,8.93505987939442,48.0286912081016
"28","ky",2011-04-10,15.6438787005885,10.0631014523004,47.9108875131211
"29","ky",2011-04-17,16.4028882613659,10.3999761502027,44.872041746703
"30","ky",2011-04-24,17.1483295317164,12.3875183993178,48.3056913443012
"31","ky",2011-05-01,13.1149615124094,9.6586993604476,46.2796431609261
"32","ky",2011-05-08,21.6335656674254,15.6816633989445,46.8685182527718
"33","ky",2011-05-15,14.6546440520919,11.319748868267,37.0305107532512
"34","ky",2011-05-22,20.6540335514814,15.6704098416044,44.3669775243519
"35","ky",2011-05-29,25.9989663964143,17.3468991140425,57.3327597437082
"36","ky",2011-06-05,26.6470127944607,18.4378590898885,61.3366872953794
"37","ky",2011-06-12,22.1689908164387,15.9255759643865,50.1196896888471
"38","ky",2011-06-19,23.5081239055718,18.2368170950413,42.0139729685706
"39","ky",2011-06-26,23.5551324525803,17.4642657342118,55.8997083316188
"40","ky",2011-07-03,25.1355964754739,20.2887802946463,52.233811425384
"41","ky",2011-07-10,26.5683612482915,21.1610939165287,51.1583327724107
"42","ky",2011-07-17,27.6152667627146,22.85169676661,48.4009179231556
"43","ky",2011-07-24,27.7061945284905,21.9872939315332,50.109925664183
"44","ky",2011-07-31,26.8470853715016,20.8701856967741,57.2813425067821
"45","ky",2011-08-07,24.8569149192109,18.4870507404164,52.1887292613895
"46","ky",2011-08-14,23.1931055905534,16.8790458331507,53.4663695254159
"47","ky",2011-08-21,24.9855353829832,16.7238385852854,53.6519441957336
"48","ky",2011-08-28,25.4290640765119,15.2110154226464,58.2655965532283
"49","ky",2011-09-04,18.1873058347537,14.1325759522726,31.5687493359906
"50","ky",2011-09-11,18.5822997297476,12.6374148711028,42.955146763995
"51","ky",2011-09-18,18.4229590704069,14.7208295434558,33.0068926760791
"52","ky",2011-09-25,16.1964633439112,11.0018972085946,38.7073904948974
